Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2,user_id
Worst roast I have had in years,g1005967-d2459574, 25 settembre 2022,none,"We visited today in a group of 6 and pre booked. When we arrived we went and got our own drinks as no one came over. There were 10s of flies landing on us and the table also. We were told there was a fly issue currently but I couldn't see any fly traps anywhere to try and reduce the amount flying around. Eventually after 30 mins someone came and took our food order. We all ordered roast and two of us ordered the beef roast cooked rare. When the food arrived it looked sad. The roast potato's were not even roasted, more like boiled. The veg was also under cooked and there was barely any gravy.  The roast which I has asked to be cooked rare was more like well done. I did speak to the waiter about this but he seemed oblivious and nothing more was done. We were still charged for it even though I barely touched it and as you can see in the photo does not look appealing. During the meal a fly landed in my food twice, once getting stuck and I had to tear the Yorkshire pudding apart to get it out and also once landed in my glass of wine. Overall the service and the food was awful. I feel like if the waiter had tried to rectify the issue when I Spoke to him it would have been different but he didn't care. I would 100% not come back here again and highly recommend people to avoid.","Punteggio 1,0 su 5",,,2440
Worth a try.,g1005967-d12183920, 25 febbraio 2024,family,Went with the kids during the school holiday. It has a little playground outside which kept the kids entertained. Very reasonable price by todays standards.,"Punteggio 5,0 su 5",,,1589
Worth the journey,g1005967-d3783536, 12 aprile 2024,family,"I literally can't find any complaint to make about the Bull. 
Often when dining out you can find something that you'd change, maybe the menu, maybe the service or ambiance; however yesterday nothing, nowt, nada, wouldn't change a thing. 
Service was excellent, ambiance was great particularly for a Thursday lunch, and the food was really, really good.
And to be honest the value for money was good.
Difficult to say why we've not returned for so long.
Please 'The Bull team keep up the good work.","Punteggio 5,0 su 5",,,2285
Yummy lunch and cake,g1005967-d13447953, 17 marzo 2024,couples,"The staff are very friendly and welcoming. I enjoy eating at the nutmeg tree, because they cater for gluten-free and the cakes are amazing. We always go here because we enjoy the food and the staff are very friendly. I would recommend to people to go here","Punteggio 5,0 su 5",,,1046
""" Da Franco a Leverano"" un posto del cuore ❤️",g1009327-d1457587,1 settembre 2023,couples,"Nelle ormai decennali vacanze salentine è ormai quasi un rito tornare almeno una volta a Leverano da Franco, il re della pizza, il vincitore del Guinness dei primati con la sua pizza di 4 metri di diametro... Franco purtroppo ormai non c'è più, il record forse è stato dimenticato ma l' impronta dell' ospitalità e dell'accoglienza che lui diede al suo locale è rimasta intatta. Tutto nella bellissima struttura con le caratteristiche volte è rimasto genuino e autentico. Dalle proposte del menù, che sanno di tradizione e cura nella scelta delle materie prime e nella preparazione, al personale... Definirli camerieri, con tutto il rispetto che questo lavoro merita, è riduttivo... Non accolgono il ""cliente"" ma gli ""ospiti"" che consigliano con competenza e discrezione... Da parte mia e di mio marito un grazie particolare a Luca, che ci ha fatto sentire persone di famiglia in modo sincero e direi affettuoso. I valori tradizionali che contraddistinguono i rapporti interpersonali non passano mai di moda...E ieri sera ne abbiamo avuta la conferma... 🔝🔝🔝","Punteggio 5,0 su 5",,,2019
""" una grande spaghettata """,g1005937-d2255659,11 dicembre 2023,friends,"Ristorante situato ai piedi dei monti marchigiani che offre una ampia scelta di piatti semplici e tradizionali.  È celebre per la sua mitica carbonara con salsiccia la quale può essere ordinata a peso anziché a porzione, posso dire che è davvero buona al punto che le dosi giganti vengono sistematicamente finite da tutti i commensali. Raccomando anche le costolette di agnello e le bietole di campo come contorno che ho trovato di rara bontà e freschezza. 
Prezzi onesti, servizio gentile e veloce. 
Un gran bel posto, capisco perché sia sempre difficile trovare un tavolo disponibile.","Punteggio 5,0 su 5",,,636
""" Un'oasi di lusso!!! Nello splendito scenario della valle di Ginosa!!!",g1007734-d3470977,29 marzo 2020,none,"IL 25-9-19 dopo circa tre anni siamo ritornati per festeggiare il matrimonio
di mio fratello. Un matrimonio da sogno realizzato a Imperatore di Puglia.
Si nota il rinnovamento totale della struttura, molto curata e di alta classe,
con uno scenario impareggiabile  della sua maestosa sala di lusso,
circondata da ampi spazi comuni e verdi giardini signorili, tutto curato
nei minimi dettagli, un'eccellenza dal punto di vista della struttura. 
Nelle recensione non si parla mai dello chef: Angelo Lilli dove offre un             servizio impeccabile,  curato nei minimi dettagli, con delizie per palati più
raffinati, capace di coniugare il piacere alla fantasia con il gusto delle
nostre tradizioni. IL suo staff altamente qualificato alle varie maestranze
ti accoglie dal primo istante con un sorriso radioso,dove mettono
in risalto le varie scenografie dagli antipasti, ai primi, ai secondi,
con una eccellenza rappresentativa della frutta e disposizione dolci                            e torte. IL proprietario Angelo D'Anzi: ineccepibile come sempre
garantisce divinamente un matrimonio da favola.","Punteggio 5,0 su 5",,,2647
.,g1006191-d9790641,11 novembre 2019,family,Bel locale sono venuto a mangiare con la mia famiglia. Sono siciliano ma abito a londra e vome al solito la cucina siciliana non mi delude mai,"Punteggio 5,0 su 5",,,2481
............,g1007324-d3161656,18 marzo 2024,couples,Mi avevano parlato di questo ristorante tra i migliori di acitrezza.....ebbene.......lascio commentare... dai gamberi rossi di nassa ai ricci freschi locali..........,"Punteggio 1,0 su 5",,,604
..aumenti sproporzionati,g1015371-d4421447,31 maggio 2023,family,"Poco tempo fa per una teglia di cecina 12 euro e stasera la brutta sorpresa...16 euro !! Ma dai..., un aumento di 4 euro !? Esagerato e anche se buona non è l'unico posto dove la vendono.","Punteggio 1,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/29/59/16/7c/caption.jpg,,283
“signorini e signorine” provate questa meraviglia!,g1007735-d6902852,5 giugno 2023,family,ottima cucina. servizio impeccabile! gradisco molto la genuinità e la simpatia del personale. consiglio vivamente di provarlo,"Punteggio 5,0 su 5",,,1362
… piacevole sorpresa.,g1009281-d2242617,10 settembre 2022,couples,"Si, ho dato 5 stelle! 
Posto rinnovato, cucina con prodotti di qualità, il tutto ben gestito da Marco & Sara, che con il modo di fare vi faranno sentire a casa!","Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/25/be/6c/dc/caption.jpg,,1057
…SOLAMENTE PER UN CAFFÈ!!…,g1007324-d3384771,8 ottobre 2023,friends,…mi sono fermata in questo locale “Eden caffè” a Acitrezza solamente per un caffè e usufruito del servizio!!…prima di fare ritorno con il nostro pullman e rientrare a casa!!…bel localino che si trova sulla via principale e a pochi metri dalla Chiesa del paese!!…con ampia scelta di dolce e di salato!!…e con personale disponibile e gentile!!…specialmente la ragazza sorridente che è venuta al tavolo a prendere l’ordine!!…,"Punteggio 3,0 su 5",,,374
1 maggio da il covo 💫,g1007324-d1751684,1 maggio 2024,friends,"Abbiamo pranzato in questo ristorante e siamo rimasti entusiasti! Ottimi prodotti ittici dal gusto che ci ha entusiasmato. Lo consiglio anche perché il servizio è stato graditissimo, i camerieri super gentili nonostante c'era molta confusione.","Punteggio 5,0 su 5",,,2382
1 Novembre 2023,g1005972-d2188855,2 novembre 2023,friends,"Tutto benissimo, cura e servizio eccellenti piatti curati e abbondanti. 
Prezzo nella norma, lo consiglio per passare una bella giornata in compagnia","Punteggio 5,0 su 5",,,418
10 con lode tra 18000 locali su Catania e provincia,g1007324-d1751684,5 aprile 2024,couples,"Quello che non si trova spesso a Catania lo trovi al Covo Marino di Acitrezza.Personale molto preparato e cortese,materia prima di pesce SPETTACOLARE.
Lochescion sul mare che abraccia l'isola LAKEA.","Punteggio 5,0 su 5",,,2164
10 e lode !!!!,g1009281-d1898914,2 aprile 2023,couples,"Gentilezza, qualità, prezzo e professionalità !!!!! Penso ci sia poco da aggiungere.....sicuramente una piacevole scoperta e l'unico rammarico è che siamo un po' distanti. Bravi davvero e vhe possiate continuare sempre così.","Punteggio 5,0 su 5",,,357
